Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0408b,2020-01-20T06:05:59.920646Z,2020-01-20T06:19:59.061285Z,2.4_HZ,B,1.24173522127,1.29230870461,1.328825999,2.27529431274,2.56157216431,2.25678434737
S0408a,2020-01-19T10:54:02.532307Z,2020-01-19T11:10:53.203309Z,2.4_HZ,C,1.30926076705,1.29143227923,1.26725255215,2.20915486383,2.15350669096,1.8940219378
S0405f,2020-01-17T05:48:10.752377Z,2020-01-17T06:04:48.331919Z,HIGH_FREQUENCY,B,1.12503472573,1.21662056126,1.19426456496,2.82737371391,2.6387420353,2.45380158619
S0405e,2020-01-17T03:54:17.869345Z,2020-01-17T04:08:17.739471Z,2.4_HZ,D,1.0575628892,1.08651924521,1.06610738684,1.26940735063,1.19539026753,1.21738845284
S0405d,2020-01-17T03:22:29.884373Z,2020-01-17T03:33:30.962881Z,2.4_HZ,C,1.00365257355,1.05191270952,1.11730248946,1.39368525749,1.36953992261,1.39033957143
S0405c,2020-01-17T01:39:58.590144Z,2020-01-17T02:12:51.485478Z,BROADBAND,C,1.63347448464,1.63692644667,1.66674827187,1.60747393777,1.34469242904,1.41742353582
S0405b,2020-01-16T11:14:34.780011Z,2020-01-16T11:28:25.776408Z,2.4_HZ,C,1.07380660887,1.05611153582,1.06224397036,2.02423523793,1.72929395894,1.88319552608
S0405a,2020-01-16T10:31:18.505794Z,2020-01-16T10:44:41.021415Z,2.4_HZ,D,1.01373091553,1.0330682324,1.05522084755,1.56817249914,1.34531994273,1.54470831801
S0401b,2020-01-13T01:10:24.962234Z,2020-01-13T01:27:03.703942Z,2.4_HZ,C,1.486093596,1.66658057784,1.43266574638,1.91962055817,1.68776657565,1.76944476762
S0401a,2020-01-13T00:20:28.170121Z,2020-01-13T00:35:02.237246Z,2.4_HZ,D,1.10440416977,1.25004593646,1.11257511672,1.32066764658,1.51067168851,1.54528151764
S0400a,2020-01-11T22:21:20.389122Z,2020-01-11T22:43:03.254579Z,2.4_HZ,D,1.26506792645,1.19754810225,1.18540923506,1.63594038823,1.84334550333,1.83361418387
S0398b,2020-01-10T03:07:03.621850Z,2020-01-10T03:24:20.116786Z,2.4_HZ,C,0.966495995533,1.03719819903,1.06617752604,1.46549161178,1.65988561804,1.51103019104
S0398a,2020-01-09T21:33:05.598879Z,2020-01-09T21:59:13.305037Z,2.4_HZ,D,0.957075673978,1.22718734736,1.33913238286,1.20172113829,1.00050014888,1.0661306665
S0397b,2020-01-08T22:40:07.443985Z,2020-01-08T22:53:11.257736Z,2.4_HZ,C,1.06569814793,1.14357624894,1.17729621739,1.86988440631,1.94593383031,2.03795162988
S0397a,2020-01-08T21:09:14.801560Z,2020-01-08T21:21:34.625131Z,2.4_HZ,C,1.13596738112,1.35987284283,1.25665127082,1.9371396448,1.92812562081,2.18179929523
S0396a,2020-01-08T01:47:22.610310Z,2020-01-08T02:00:27.054572Z,2.4_HZ,D,1.00594644971,1.08331213332,1.12909242117,2.47822899494,2.12422336458,2.31424986329
S0395b,2020-01-06T23:03:25.454821Z,2020-01-06T23:17:08.271190Z,2.4_HZ,D,0.938100630723,0.969184635944,1.029376746,1.31744027952,1.13053678238,1.32319611467
S0395a,2020-01-06T22:32:42.709457Z,2020-01-06T22:54:14.483253Z,BROADBAND,C,2.89912659295,2.74828752568,2.499149289,2.48279809266,2.79631359428,2.36921747528
S0394a,2020-01-05T19:54:07.470626Z,2020-01-05T20:09:42.431490Z,2.4_HZ,B,1.28018717686,1.22749584927,1.28490279163,1.9618334504,1.84143876335,2.01056195735
S0392a,2020-01-03T17:25:08.213689Z,2020-01-03T17:40:00.153642Z,HIGH_FREQUENCY,B,1.78856565814,1.53278736596,1.78356917645,4.07274196574,3.85221798312,3.76985466792
S0388b,2019-12-30T18:25:38.790191Z,2019-12-30T18:39:19.308471Z,2.4_HZ,D,1.04767091549,1.27095205315,1.08570570062,1.18090957669,1.29558687269,1.26474139865
S0388a,2019-12-30T15:49:50.063979Z,2019-12-30T16:02:04.354336Z,2.4_HZ,D,1.19362474675,1.24198386357,1.13646462016,1.45759111086,1.37753590895,1.54822389501
S0387a,2019-12-29T14:40:41.228470Z,2019-12-29T14:57:01.143483Z,VERY_HIGH_FREQUENCY,B,1.41104691545,1.62834426032,1.5039450425,2.91987389312,3.52630687488,3.08694487434
S0386b,2019-12-28T18:05:56.377063Z,2019-12-28T18:19:51.518131Z,2.4_HZ,C,0.997161694501,0.949394265477,0.92796081883,1.84099522373,1.95278428416,1.91499555563
S0386a,2019-12-28T14:54:47.978301Z,2019-12-28T15:11:07.953657Z,2.4_HZ,D,1.5112678649,1.25009910212,1.18217880955,1.62769085496,1.29256056963,1.40042543975
S0385b,2019-12-27T13:57:17.474737Z,2019-12-27T14:08:10.550263Z,2.4_HZ,C,1.05815377546,1.09127492449,1.04170071563,1.57786568522,1.71144755115,1.71566695278
S0385a,2019-12-27T12:41:08.608345Z,2019-12-27T12:58:43.634679Z,HIGH_FREQUENCY,C,1.42668453082,1.3777074634,1.35095242974,3.99275422249,3.33923459378,4.0155947423
S0383c,2019-12-25T15:45:17.228113Z,2019-12-25T16:01:54.132142Z,2.4_HZ,D,1.15606957783,1.20233173067,1.33225133186,1.58794994161,1.499986092,1.63276991562
S0383b,2019-12-25T15:26:35.708711Z,2019-12-25T15:39:33.369600Z,2.4_HZ,D,1.07711555473,1.07772780205,1.09449664735,1.31221315282,1.33751001799,1.31130164679
S0383a,2019-12-25T14:36:33.168899Z,2019-12-25T14:51:27.082155Z,2.4_HZ,C,1.15007451047,1.1354166053,1.1095556857,1.59025554721,1.51446342999,1.68028866952
S0382a,2019-12-24T14:34:14.392722Z,2019-12-24T14:49:32.054147Z,2.4_HZ,D,0.914111955205,0.975667694586,0.957865339718,1.14584791612,1.15854819595,1.16491170405
S0381f,2019-12-23T13:51:28.871183Z,2019-12-23T14:00:21.334314Z,2.4_HZ,D,1.11687034988,1.06991154562,1.12355195528,1.26886342021,1.21566017871,1.24233184225
S0381e,2019-12-23T13:32:35.141195Z,2019-12-23T13:46:55.596927Z,2.4_HZ,D,1.09345286373,1.07823255716,1.05003670576,1.45282858781,1.41593679984,1.52763494169
S0381d,2019-12-23T11:51:16.501651Z,2019-12-23T12:02:38.186532Z,2.4_HZ,D,1.31089702837,1.32252419944,1.29024644317,1.58395878425,1.74352917287,1.7131192378
S0381c,2019-12-23T11:07:28.101730Z,2019-12-23T11:20:10.884809Z,2.4_HZ,D,1.00644915913,1.14145823391,0.993350100829,1.3491587276,1.22477810629,1.34711657226
